2016-04-17 11:43:28,200 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aap-southeast-2%3A112888586165%3Astack%2FOrchestrator%2F8f520e20-0490-11e6-8b35-5081eaa90811&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '99f507f0-0491-11e6-9d7b-b7ae1ece9733', 'date': 'Sun, 17 Apr 2016 11:43:28 GMT', 'content-length': '11780', 'content-type': 'application/json'}]
2016-04-26 11:28:59,371 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aap-southeast-2%3A112888586165%3Astack%2FLMBROrchestrator%2F530b36d0-0b4d-11e6-a33e-50fae957fc56&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '400b5dc5-0b4e-11e6-aff4-6b8e859ff598', 'date': 'Tue, 26 Apr 2016 01:28:59 GMT', 'content-length': '10452', 'content-type': 'application/json'}]
2016-04-26 11:31:01,996 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '894ae3f1-0b4e-11e6-98c8-5fd96f1c22f8', 'date': 'Tue, 26 Apr 2016 01:31:01 GMT', 'content-length': '10452', 'content-type': 'application/json'}]
2016-04-26 11:36:02,621 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '3c76f708-0b4f-11e6-844b-072d20517f2a', 'date': 'Tue, 26 Apr 2016 01:36:02 GMT', 'content-length': '10452', 'content-type': 'application/json'}]
2016-04-26 11:37:13,292 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Status=SUCCESS&ContentType=JSON&StackName=LMBROrchestrator&Version=2010-05-15&UniqueId=i-c81c0817&Action=SignalResource&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '66994034-0b4f-11e6-9e6e-59e012e1d07b', 'date': 'Tue, 26 Apr 2016 01:37:12 GMT', 'content-length': '100', 'content-type': 'application/json'}]
2016-04-26 11:41:03,653 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'efe765be-0b4f-11e6-a117-81a5caa8cb20', 'date': 'Tue, 26 Apr 2016 01:41:03 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 11:43:11,714 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '3c311e68-0b50-11e6-8ee9-6d4d70bf2f89', 'date': 'Tue, 26 Apr 2016 01:43:11 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 11:46:04,496 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'a334bbba-0b50-11e6-94ae-a571d42b4cf3', 'date': 'Tue, 26 Apr 2016 01:46:04 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 11:51:05,105 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '5664505a-0b51-11e6-949e-3b5dee968a67', 'date': 'Tue, 26 Apr 2016 01:51:04 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 11:56:05,700 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '098d2f48-0b52-11e6-816b-f308861b8f7a', 'date': 'Tue, 26 Apr 2016 01:56:05 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:01:06,607 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'bce75652-0b52-11e6-a15d-db34ebd707e8', 'date': 'Tue, 26 Apr 2016 02:01:05 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:06:07,184 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '700cd970-0b53-11e6-92ff-d1edcc958296', 'date': 'Tue, 26 Apr 2016 02:06:07 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:11:07,872 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '233ff01e-0b54-11e6-96c8-5169206d8b22', 'date': 'Tue, 26 Apr 2016 02:11:07 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:16:08,684 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'd6949a2b-0b54-11e6-83d8-a3f96de32e28', 'date': 'Tue, 26 Apr 2016 02:16:08 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:21:09,434 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '89d370ee-0b55-11e6-b1d0-614a29b0e6f4', 'date': 'Tue, 26 Apr 2016 02:21:09 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:26:10,263 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '3d21b1e2-0b56-11e6-8a8a-ed19d6ce941d', 'date': 'Tue, 26 Apr 2016 02:26:10 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:31:10,950 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'f05a952b-0b56-11e6-83d8-a3f96de32e28', 'date': 'Tue, 26 Apr 2016 02:31:10 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:36:11,638 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'a3928f48-0b57-11e6-a370-89489f477625', 'date': 'Tue, 26 Apr 2016 02:36:10 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:41:11,826 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '567feaee-0b58-11e6-b08b-6bdbf640236f', 'date': 'Tue, 26 Apr 2016 02:41:11 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:46:12,013 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '096caa92-0b59-11e6-8413-5be41d579972', 'date': 'Tue, 26 Apr 2016 02:46:11 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:51:12,779 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'bcb25fc5-0b59-11e6-9739-999235b70013', 'date': 'Tue, 26 Apr 2016 02:51:12 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 12:56:13,686 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '7000c779-0b5a-11e6-8413-5be41d579972', 'date': 'Tue, 26 Apr 2016 02:56:13 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 13:01:14,374 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '23456ae0-0b5b-11e6-a15d-db34ebd707e8', 'date': 'Tue, 26 Apr 2016 03:01:13 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 13:06:14,983 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'd66e96a4-0b5b-11e6-8ee9-6d4d70bf2f89', 'date': 'Tue, 26 Apr 2016 03:06:14 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 13:11:15,592 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '899d692a-0b5c-11e6-a370-89489f477625', 'date': 'Tue, 26 Apr 2016 03:11:15 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 13:16:16,530 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '3cfb12ef-0b5d-11e6-92ff-d1edcc958296', 'date': 'Tue, 26 Apr 2016 03:16:16 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 13:21:17,280 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'f03ccfd2-0b5d-11e6-98c8-5fd96f1c22f8', 'date': 'Tue, 26 Apr 2016 03:21:17 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 13:26:17,969 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'a3742cc3-0b5e-11e6-b7d4-e7e698cb7b37', 'date': 'Tue, 26 Apr 2016 03:26:17 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 13:31:18,562 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '569e43b5-0b5f-11e6-b7d4-e7e698cb7b37', 'date': 'Tue, 26 Apr 2016 03:31:18 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 13:36:19,546 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '0a056374-0b60-11e6-b1d0-614a29b0e6f4', 'date': 'Tue, 26 Apr 2016 03:36:19 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
